Model,Recall_Mean,Recall_Std,Precision,F1,ROC_AUC,Time_Sec
AdaBoost,0.7637267426303365,0.003095329726500064,0.28969523414293435,0.4200541955505767,0.7373604358355683,2.703949451446533
CatBoost,0.7498189589427972,0.0026024311562441818,0.33286415867633384,0.4610515500281245,0.7893103860361078,5.5814642906188965
XGBoost,0.7341493409122943,0.001356409911833087,0.33358342980854877,0.45872355918845553,0.783876233514964,4.057153224945068
Random Forest,0.19801121361782573,0.004089058181443478,0.3969611214137414,0.2642222648173116,0.7360124259430508,8.553467273712158
