Model,Strategy,Recall,Precision,F1,ROC_AUC,Time,TP,FP,FN,TN,Combo
CatBoost,UnderSample,0.9714285714285714,0.22513928998570637,0.3655567659735708,0.7961498942369695,0.7797820568084717,7718,26563,227,11449,"CatBoost
UnderSample"
CatBoost,SMOTE,0.7959723096286972,0.31667501251877817,0.4530897367006986,0.7951710986302427,3.0069308280944824,6324,13646,1621,24366,"CatBoost
SMOTE"
AdaBoost,UnderSample,0.7549402139710509,0.3329817354133126,0.4621311349102396,0.7937975368250111,5.068568706512451,5998,12015,1947,25997,"AdaBoost
UnderSample"
CatBoost,Baseline,0.7517935808684707,0.336052661190503,0.4644815117228508,0.7957858675611497,1.019514799118042,5973,11801,1972,26211,"CatBoost
Baseline"
AdaBoost,Baseline,0.6436752674638138,0.3292769300109458,0.4356789913102743,0.6848151145274451,0.3973367214202881,5114,10417,2831,27595,"AdaBoost
Baseline"
AdaBoost,SMOTE,0.3180616740088106,0.47688243064729197,0.38160676532769555,0.7807568915834403,45.355761766433716,2527,2772,5418,35240,"AdaBoost
SMOTE"
